productName,category,batchNum,supplier,date,availableQty,damageQty,displayQty,description,isNil,isCancelled
SF 2036 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,1,0,0,,FALSE,FALSE
SF 2039 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,2,0,0,,FALSE,FALSE
SF 2040 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,2,0,0,,FALSE,FALSE
SF 2041 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
SF 2054 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,FALSE
SF 2055 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
SF 2056 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,1,0,0,,FALSE,FALSE
SF 2057 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
SF 2058 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
HG 650 SP,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
HG 651 SP,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
HG 652 SP,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,FALSE
HG 653 SP,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,11,0,0,,FALSE,FALSE
HG 654 SP,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
HG 655 SP,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 656 SP,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
HG 657 SP,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 501 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,9,0,0,,FALSE,FALSE
HG 502 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
HG 507 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
HG 509 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 534 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,1,0,0,,FALSE,FALSE
HG 563 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,11,2,0,,FALSE,FALSE
HG 568 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
HG 576 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,1,0,,FALSE,FALSE
HG 589 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
HG 593 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
HG 594 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
HG 595 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
HG 596 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
HG 598 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,2,0,0,,FALSE,FALSE
HG 600 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 605 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,2,2,0,COLOR VARATION,FALSE,FALSE
HG 607 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,2,0,0,,FALSE,FALSE
HG 611 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 612 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,FALSE
HG 614 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 615 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,2,0,0,,FALSE,FALSE
HG 616 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
HG 617 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,1,0,7X3,FALSE,FALSE
HG 618 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
HG 619 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,TRUE
HG 621 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
HG 622 A ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 623 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,10,0,0,,FALSE,FALSE
HG 624 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,9,0,0,,FALSE,FALSE
HG 625 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
HG 626 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,10,1,0,,FALSE,FALSE
HG 627 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,11,0,0,,FALSE,FALSE
HG 628 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,11,0,0,,FALSE,FALSE
HG 629 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
HG 630 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
